Cap_puntaje,Des_puntaje,Nivel_instru,discapacidad,pea,edad,edad_cuadrado,jefe_familia,estado_conyugal,Urbana,vehiculo,sexo
10.32,30.05,Sin nivel de instrucción,0,0,53,2809,0,1,0,1,1
10.32,0,Educación superior,0,0,24,576,0,1,0,1,1
19.73,9.470000000000001,Secundaria incompleta,0,1,45,2025,1,0,1,0,1
38.25,37.02,Secundaria completa,0,0,51,2601,0,1,1,1,1
19.73,18.01,Primaria completa,0,1,52,2704,1,1,0,0,0
10.32,18.01,Primaria incompleta,0,0,42,1764,0,1,0,1,1
32.26,39.17,Primaria incompleta,0,1,44,1936,1,0,0,1,1
0,30.05,Primaria incompleta,0,0,37,1369,0,0,1,0,1
43.28,45.3,Secundaria incompleta,1,1,32,1024,1,0,0,0,1
50.26,45.89,Primaria completa,1,1,45,2025,0,1,0,0,0
0,25.88,Secundaria incompleta,0,1,19,361,0,0,1,1,0
29.28,40.8,Primaria completa,0,1,57,3249,0,1,1,0,0
19.73,22.72,Primaria incompleta,0,0,40,1600,0,1,1,0,1
44.3,50.56,Secundaria completa,1,0,60,3600,1,1,1,0,1
19.73,44.21,Educación superior,0,0,32,1024,0,0,0,0,1
34.63,42.7,Primaria completa,0,0,56,3136,0,1,0,0,1
0,0,Secundaria incompleta,0,0,20,400,0,1,0,1,1
10.32,18.01,Primaria completa,0,1,36,1296,0,1,1,0,1
46.17,48.03,Primaria completa,1,0,48,2304,1,0,1,0,1
32.26,42.41,Primaria completa,0,1,56,3136,1,1,0,1,0
47.04,46.65,Primaria incompleta,1,1,53,2809,1,0,0,1,1
25.35,25.88,Primaria completa,0,1,31,961,0,1,1,1,0
34.63,37.63,Primaria completa,0,1,60,3600,1,1,1,1,0
36.58,45.09,Primaria incompleta,0,1,61,3721,1,0,1,0,1
19.73,0,Secundaria incompleta,0,0,20,400,0,1,0,0,1
29.28,38.7,Primaria incompleta,0,0,59,3481,0,0,0,1,0
36.58,40.8,Primaria completa,0,1,43,1849,0,0,0,0,1
39.71,42.97,Primaria completa,0,1,33,1089,1,0,0,0,1
